trip_id,driver_id,zone,hour,trip_duration_min,distance_miles,delivery_success,delay_min,vehicle_type,speed_mph,time_of_day,is_delayed
1,52,Downtown,9,27.9,7.09,1,7.1,Car,15.25,Morning,0
2,93,Downtown,21,15.8,2.18,1,0.5,Car,8.28,Late Night,0
3,15,North,4,34.6,1.3,1,5.5,Bike,2.25,Night,0
4,72,West,2,28.1,4.59,1,0.9,Car,9.8,Night,0
5,61,South,15,7.8,6.5,1,2.0,Car,50.0,Afternoon,0
6,21,West,7,43.9,6.27,1,6.3,Bike,8.57,Morning,0
7,83,West,23,21.3,5.13,1,2.9,Bike,14.45,Late Night,0
8,87,West,6,22.9,6.23,0,12.7,Car,16.32,Morning,1
9,75,North,18,29.2,6.64,1,1.4,Van,13.64,Evening,0
10,75,North,13,24.1,5.14,1,0.8,Car,12.8,Afternoon,0
11,88,South,14,34.6,6.24,1,2.1,Bike,10.82,Afternoon,0
12,100,West,16,14.8,6.42,0,9.6,Van,26.03,Afternoon,0
13,24,North,20,36.5,4.93,1,9.4,Bike,8.1,Evening,0
14,3,South,0,31.8,7.96,1,2.3,Bike,15.02,Night,0
15,22,South,5,17.3,2.6,1,8.3,Van,9.02,Night,0
16,53,West,22,27.5,8.3,1,0.4,Bike,18.11,Late Night,0
17,2,East,14,37.1,7.09,1,0.0,Car,11.47,Afternoon,0
18,88,West,11,30.2,9.32,1,10.0,Car,18.52,Morning,0
19,30,East,20,26.5,1.96,1,10.4,Bike,4.44,Evening,1
20,38,South,19,31.2,4.3,1,0.8,Van,8.27,Evening,0
21,2,North,1,32.1,5.96,1,1.8,Bike,11.14,Night,0
22,64,Downtown,4,19.9,5.52,1,9.5,Van,16.64,Night,0
23,60,South,8,26.6,4.14,1,0.4,Car,9.34,Morning,0
24,21,North,19,33.5,5.61,1,9.9,Car,10.05,Evening,0
25,33,South,13,26.3,7.49,1,4.3,Van,17.09,Afternoon,0
26,76,West,17,17.8,5.28,1,5.4,Bike,17.8,Evening,0
27,58,East,21,27.8,2.27,1,4.5,Van,4.9,Late Night,0
28,22,South,7,21.1,9.11,1,4.4,Van,25.91,Morning,0
29,89,North,1,30.8,3.08,1,1.0,Van,6.0,Night,0
30,49,West,8,39.3,2.56,1,1.3,Van,3.91,Morning,0
31,91,Downtown,6,31.8,3.55,1,4.3,Bike,6.7,Morning,0
32,59,West,17,16.8,3.77,0,2.6,Car,13.46,Evening,0
33,42,East,15,28.0,5.55,1,3.9,Van,11.89,Afternoon,0
34,92,West,20,5.0,10.22,1,1.5,Car,122.64,Evening,0
35,60,Downtown,4,24.0,3.21,0,3.1,Van,8.02,Night,0
36,80,North,22,34.4,7.19,1,0.8,Van,12.54,Late Night,0
37,15,South,14,29.0,8.9,1,0.2,Bike,18.41,Afternoon,0
38,62,East,4,26.1,4.15,1,15.1,Bike,9.54,Night,1
39,62,Downtown,10,46.3,4.8,1,6.4,Van,6.22,Morning,0
40,47,East,21,8.0,5.61,1,3.4,Bike,42.08,Late Night,0
41,62,West,13,10.2,4.09,1,4.0,Car,24.06,Afternoon,0
42,51,East,18,29.8,1.37,1,3.6,Car,2.76,Evening,0
43,55,Downtown,2,34.0,7.7,1,11.5,Van,13.59,Night,1
44,64,South,23,34.4,5.32,1,7.4,Van,9.28,Late Night,0
45,3,South,9,19.3,3.87,1,2.0,Van,12.03,Morning,0
46,51,East,5,16.6,4.91,0,1.2,Van,17.75,Night,0
47,7,North,2,15.1,4.37,1,0.3,Car,17.36,Night,0
48,21,East,1,28.2,6.18,0,0.8,Van,13.15,Night,0
49,73,West,12,15.2,3.2,1,3.4,Car,12.63,Afternoon,0
50,39,South,17,36.1,4.24,1,1.1,Car,7.05,Evening,0
51,18,South,1,24.8,5.29,1,1.9,Car,12.8,Night,0
52,4,South,14,18.0,1.06,0,0.7,Van,3.53,Afternoon,0
53,89,North,4,18.0,4.51,1,12.8,Car,15.03,Night,1
54,60,North,14,9.7,3.62,0,0.2,Car,22.39,Afternoon,0
55,14,Downtown,20,17.1,6.22,1,2.2,Car,21.82,Evening,0
56,9,East,16,19.5,5.49,1,1.5,Bike,16.89,Afternoon,0
57,90,East,1,29.1,7.54,1,0.0,Bike,15.55,Night,0
58,53,West,17,24.0,0.97,1,13.2,Car,2.42,Evening,1
59,2,South,14,16.4,3.77,1,1.9,Bike,13.79,Afternoon,0
60,84,North,19,12.7,5.39,1,3.5,Van,25.46,Evening,0
61,92,West,22,22.6,7.58,1,4.4,Car,20.12,Late Night,0
62,60,West,2,5.0,2.79,1,4.7,Van,33.48,Night,0
63,71,North,4,21.8,3.39,1,3.1,Bike,9.33,Night,0
64,44,East,10,36.2,7.63,1,4.5,Bike,12.65,Morning,0
65,8,South,8,23.0,9.61,1,7.0,Bike,25.07,Morning,0
66,47,East,4,26.6,8.41,1,15.2,Bike,18.97,Night,1
67,35,West,0,25.4,8.43,1,5.4,Van,19.91,Night,0
68,78,South,13,11.1,5.86,1,3.1,Van,31.68,Afternoon,0
69,81,Downtown,4,42.6,5.26,1,2.9,Van,7.41,Night,0
70,36,West,7,20.9,8.8,1,6.2,Car,25.26,Morning,0
71,50,East,20,25.0,4.35,1,4.9,Bike,10.44,Evening,0
72,4,East,13,18.4,2.98,1,2.7,Van,9.72,Afternoon,0
73,2,East,15,36.4,5.57,0,2.0,Bike,9.18,Afternoon,0
74,6,North,5,10.4,4.28,0,24.9,Van,24.69,Night,1
75,54,West,7,38.0,3.46,1,7.3,Van,5.46,Morning,0
76,4,South,1,22.0,6.7,1,1.2,Car,18.27,Night,0
77,54,East,18,19.7,4.5,1,1.7,Car,13.71,Evening,0
78,93,East,8,18.7,5.37,1,11.2,Bike,17.23,Morning,1
79,63,North,4,43.1,6.08,1,5.4,Bike,8.46,Night,0
80,18,South,4,9.0,1.47,1,1.9,Bike,9.8,Night,0
81,90,West,18,19.7,7.48,1,2.3,Bike,22.78,Evening,0
82,44,Downtown,3,12.1,9.6,0,2.4,Car,47.6,Night,0
83,34,North,15,6.9,7.56,0,1.0,Car,65.74,Afternoon,0
84,74,West,15,38.1,0.5,1,3.6,Bike,0.79,Afternoon,0
85,62,Downtown,15,24.7,5.45,1,7.3,Van,13.24,Afternoon,0
86,100,East,6,13.4,1.28,1,4.2,Car,5.73,Morning,0
87,14,East,17,33.3,7.39,1,5.3,Van,13.32,Evening,0
88,95,South,23,21.0,7.39,1,4.5,Bike,21.11,Late Night,0
89,48,Downtown,20,18.5,5.75,0,0.3,Van,18.65,Evening,0
90,15,East,0,30.8,0.5,1,1.0,Van,0.97,Night,0
91,72,East,2,20.8,5.02,1,2.2,Van,14.48,Night,0
92,78,South,20,15.4,2.76,1,11.0,Van,10.75,Evening,1
93,87,West,7,32.0,5.28,1,2.1,Bike,9.9,Morning,0
94,62,East,0,23.6,4.97,1,2.0,Van,12.64,Night,0
95,40,North,6,32.5,7.09,1,0.4,Van,13.09,Morning,0
96,85,North,6,21.0,4.68,1,17.9,Car,13.37,Morning,1
97,80,West,7,35.2,8.35,1,7.5,Car,14.23,Morning,0
98,82,Downtown,18,25.1,5.8,1,7.3,Bike,13.86,Evening,0
99,53,South,16,35.6,3.95,0,2.4,Van,6.66,Afternoon,0
100,24,North,10,35.3,4.83,1,0.4,Car,8.21,Morning,0
101,26,North,14,37.4,7.58,1,1.5,Car,12.16,Afternoon,0
102,89,West,8,25.7,7.84,0,9.6,Bike,18.3,Morning,0
103,60,Downtown,16,28.8,0.5,1,1.0,Car,1.04,Afternoon,0
104,41,Downtown,10,22.7,2.61,1,11.2,Bike,6.9,Morning,1
105,29,West,5,16.0,3.75,1,3.8,Van,14.06,Night,0
106,15,North,8,45.0,7.81,1,6.3,Car,10.41,Morning,0
107,45,South,17,17.5,7.52,1,3.0,Car,25.78,Evening,0
108,65,North,19,34.0,7.01,1,13.5,Car,12.37,Evening,1
109,89,Downtown,1,32.3,7.27,1,1.4,Car,13.5,Night,0
